mood,strategy,genre,s_subj,s_meta,n_counts
happiness,amplify,pop,0.33438,0.39583,37
happiness,amplify,rock,-0.11193,0.02083,1
happiness,amplify,classical,-0.07262,0.03125,2
happiness,amplify,hiphop,0.06197,0.19792,18
happiness,amplify,jazz,0.05555,0.16667,15
happiness,amplify,edm,0.05509,0.14583,13
happiness,amplify,ambient,-0.13451,0.02083,1
happiness,amplify,metal,-0.09621,0.02083,1
happiness,suppress,pop,-0.08922,0.0885,9
happiness,suppress,rock,-0.09913,0.0531,5
happiness,suppress,classical,0.04075,0.12389,13
happiness,suppress,hiphop,-0.209,0.0177,1
happiness,suppress,jazz,-0.09079,0.02655,2
happiness,suppress,edm,-0.10063,0.02655,2
happiness,suppress,ambient,0.19153,0.31858,35
happiness,suppress,metal,0.17928,0.34513,38
happiness,stabilize,pop,0.03818,0.13889,14
happiness,stabilize,rock,0.36349,0.46296,49
happiness,stabilize,classical,-0.18297,0.01852,1
happiness,stabilize,hiphop,-0.0057,0.17593,18
happiness,stabilize,jazz,0.0245,0.13889,14
happiness,stabilize,edm,-0.03216,0.02778,2
happiness,stabilize,ambient,-0.11369,0.01852,1
happiness,stabilize,metal,-0.12763,0.01852,1
happiness,focus,pop,0.28039,0.46429,38
happiness,focus,rock,-0.08296,0.05952,4
happiness,focus,classical,-0.11435,0.07143,5
happiness,focus,hiphop,-0.12851,0.03571,2
happiness,focus,jazz,-0.03704,0.13095,10
happiness,focus,edm,0.0157,0.14286,11
happiness,focus,ambient,-0.14911,0.07143,5
happiness,focus,metal,-0.189,0.02381,1
happiness,neutralize,pop,-0.06163,0.02778,1
happiness,neutralize,rock,-0.17003,0.02778,1
happiness,neutralize,classical,0.00737,0.09722,6
happiness,neutralize,hiphop,-0.00953,0.125,8
happiness,neutralize,jazz,0.05856,0.125,8
happiness,neutralize,edm,-0.04182,0.05556,3
happiness,neutralize,ambient,0.48786,0.47222,33
happiness,neutralize,metal,-0.02695,0.06944,4
happiness,gradual,pop,0.4775,0.46753,35
happiness,gradual,rock,-0.07839,0.11688,8
happiness,gradual,classical,0.11426,0.20779,15
happiness,gradual,hiphop,-0.1652,0.02597,1
happiness,gradual,jazz,-0.01523,0.09091,6
happiness,gradual,edm,-0.10488,0.03896,2
happiness,gradual,ambient,-0.20472,0.02597,1
happiness,gradual,metal,-0.06676,0.02597,1
sadness,amplify,pop,0.00672,0.08434,6
sadness,amplify,rock,-0.14488,0.04819,3
sadness,amplify,classical,-0.08746,0.04819,3
sadness,amplify,hiphop,0.01457,0.0241,1
sadness,amplify,jazz,0.44661,0.50602,41
sadness,amplify,edm,0.01142,0.07229,5
sadness,amplify,ambient,-0.00059,0.12048,9
sadness,amplify,metal,-0.00366,0.09639,7
sadness,suppress,pop,-0.03033,0.04,3
sadness,suppress,rock,0.01097,0.08,7
sadness,suppress,classical,-0.06405,0.08,7
sadness,suppress,hiphop,-0.0104,0.1,9
sadness,suppress,jazz,-0.2405,0.02,1
sadness,suppress,edm,-0.17782,0.02,1
sadness,suppress,ambient,-0.13469,0.02,1
sadness,suppress,metal,0.53496,0.64,63
sadness,stabilize,pop,0.00841,0.04255,3
sadness,stabilize,rock,-0.10994,0.02128,1
sadness,stabilize,classical,-0.09893,0.05319,4
sadness,stabilize,hiphop,-0.02838,0.10638,9
sadness,stabilize,jazz,0.62955,0.64894,60
sadness,stabilize,edm,-0.13213,0.08511,7
sadness,stabilize,ambient,-0.11032,0.02128,1
sadness,stabilize,metal,-0.13806,0.02128,1
sadness,focus,pop,-0.01421,0.06667,4
sadness,focus,rock,-0.14594,0.04,2
sadness,focus,classical,0.284,0.41333,30
sadness,focus,hiphop,-0.08445,0.02667,1
sadness,focus,jazz,-0.09298,0.05333,3
